"datacamp_id","academic_year","location","intern_status","intern_work_site","work_site_zip","organization","industry","total_hours_worked","dob","mailing_zip","median_household_income","labor_force_participation","unemployment_rate","ssi","cash_assistance","snap","all_families_below_poverty","educational_attainment_ba","female_headed_households","race","gender","high_school","title_i_school","frl","graduation_rate_of_hs","college_enrollment_of_hs","hs_zip_code","nsc_data_available","first_year_college_enrollment","first_year_college_type","first_year_college_state","student_quote"
"UADC27","2014 - 2015","DC - DOES","Active","Young Women's Project 2014-2015","20009","Young Women's Project","Non-profit",194,"1996-10-26","20032",31184,0.58,0.155,0.112,0.121,0.375,0.34,0.141,0.222,"Not Reported","M","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
"UADC1323","2014 - 2015","Chicago","Active","The Private Bank CHI 2014-2015","60603","The Private Bank","Financial Services",145,"1997-08-10","60641",46816,0.717,0.092,0.044,0.033,0.144,0.118,0.226,0.063,"Hispanic/Latino","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",0,NA,NA,NA,""
"UADC1203","2014 - 2015","DC - Year Round High School Program","Active","Martha's Table Education Department (3) DC 2014-2015","20009","Martha's Table","Non-profit",252,"1997-03-08","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","Options Public Charter School",1,1,0.49,NA,"20002",0,NA,NA,NA,""
"UADC1214","2014 - 2015","DC - Year Round High School Program","Terminated Student","Morgan Stanley Bethesda DC 2014-2015","20814","Morgan Stanley","Financial Services",NA,"1997-09-23","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Washington Mathematics Science Technology Public Charter High School (WMST)",1,1,0.91,NA,"20002",0,NA,NA,NA,""
"UADC1220","2014 - 2015","Chicago","Active","Neal and Leroy LLC CHI 2014-2015","60602","Neal and Leroy LLC","Legal & Professional Services",235,"1996-09-12","60628",34472,0.532,0.127,0.116,0.066,0.314,0.247,0.168,0.141,"Black","M","Muchin College Prep",0,0.849,0.93,NA,"60602",0,NA,NA,NA,""
"UADC28","2014 - 2015","DC - Year Round High School Program","Active","New Leaders New Schools (1) DC 2014-2015","21211","New Leaders","Education",183,"1997-09-12","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Hispanic/Latino","F","Wilson Senior High School",0,0.295401,0.76,NA,"20016",0,NA,NA,NA,""
"UADC1066","2014 - 2015","Baltimore - YAIP","Active","Bon Secours BAL YAIP 2014-2015","21223","Bon Secours","Healthcare",162,"1994-12-15","21133",75010,0.727,0.054,0.046,0.027,0.108,0.065,0.32,0.1,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1247","2014 - 2015","DC - Year Round High School Program","Active","Office of Notary Commissions and Authentications DC 2014-2015","20004","Office of Notary Commissions and Authentications","Government",148,"1997-08-27","20003",107966,0.693,0.048,0.043,0.031,0.078,0.073,0.653,0.034,"Black","M","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1205","2014 - 2015","Chicago","Active","McKinsey & Company CHI 2014-2015","60601","McKinsey & Company","Legal & Professional Services",223,"1997-03-27","60632",38545,0.661,0.107,0.033,0.076,0.232,0.209,0.085,0.096,"Hispanic/Latino","M","Curie Metro High School",0,0.938,0.86,0.64,"60632",0,NA,NA,NA,""
"UADC1196","2014 - 2015","Baltimore","Active","Marriott BAL BWI Airport 2014-2015","21090","Marriott","Hospitality",194,"1997-02-10","21201",27465,0.588,0.062,0.086,0.052,0.222,0.308,0.454,0.082,"Black","F","Digital Harbor",0,0.778,0.6503,0.595,"21230",0,NA,NA,NA,""
"UADC1179","2014 - 2015","Chicago","Active","KPMG-CHA-CHI 2014-2015","60601","KPMG","Legal & Professional Services",201,"1996-09-05","60619",34977,0.592,0.141,0.09,0.046,0.306,0.227,0.231,0.151,"Black","M","Dunbar Vocational Career Academy",1,0.977,0.89,0.76,"60616",0,NA,NA,NA,""
"UADC1345","2014 - 2015","Chicago","Active","Walgreens CHI 2014-2015","60603","Walgreens","Other",212,"1996-11-23","60621",19548,0.491,0.166,0.18,0.084,0.471,0.441,0.067,0.211,"Black","F","Muchin College Prep",0,0.849,0.93,NA,"60602",0,NA,NA,NA,""
"UADC1352","2014 - 2015","DC - Year Round High School Program","Active","Words, Beats & Life DC 2014-2015","20010","Words, Beats & Life, Inc.","Education",143,"1997-05-05","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","M","Washington Mathematics Science Technology Public Charter High School (WMST)",1,1,0.91,NA,"20002",0,NA,NA,NA,""
"UADC1029","2014 - 2015","NCR","Active","AR Free Clinic NCR 2014-15","22204","Arlington Free Clinic","Non-profit",208,"1996-12-25","22204",76052,0.803,0.046,0.022,0.011,0.07,0.127,0.53,0.064,"","M","Wakefield High School",0,0.4551,0.894,NA,"22206",0,NA,NA,NA,""
"UADC1051","2014 - 2015","DC - Year Round High School Program","Active","Bank of America-METRO CENTER DC 2014-2015","20005","Bank of America","Financial Services",156,"1997-04-08","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","Columbia Heights Educational Campus (CHEC/Bell)",0,0.794629,0.84,NA,"20010",0,NA,NA,NA,""
"UADC1296","2014 - 2015","NCR","Terminated Student","Reingold Inc NCR 2014-2015","22301","Reingold Inc","Legal & Professional Services",90,"1997-07-03","22204",76052,0.803,0.046,0.022,0.011,0.07,0.127,0.53,0.064,"Hispanic/Latino","M","Wakefield High School",0,0.4551,0.894,NA,"22206",0,NA,NA,NA,""
"UADC1099","2014 - 2015","Chicago","Active","ComEd CHI 2014-2015","60603","ComEd","Utilities",138,"1996-10-15","60632",38545,0.661,0.107,0.033,0.076,0.232,0.209,0.085,0.096,"Hispanic/Latino","M","Thomas Kelly High School",0,0.943,0.86,0.59,"60632",0,NA,NA,NA,""
"UADC1004","2014 - 2015","Chicago","Active","Advocate Illinois Masonic CHI 2014-2015","60657","Advocate Illinois Masonic Medical Center","Healthcare",163,"1996-02-20","60638",61903,0.678,0.08,0.025,0.026,0.083,0.06,0.191,0.051,"Black","F","Farragut Career Academy",1,0.969,0.78,0.43,"60623",0,NA,NA,NA,""
"UADC1353","2014 - 2015","DC - Year Round High School Program","Active","World Bank- IFC-SME DC 2014-2015","20433","World Bank Group","Government",6,"1997-06-24","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","M","Hospitality High Public Charter School",1,1,0.32,NA,"20011",0,NA,NA,NA,""
"UADC1158","2014 - 2015","Chicago","Active","Hyatt 71 South Wacker CHI 2014-2015","60606","Hyatt","Hospitality",230,"1996-11-29","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Hispanic/Latino","F","Farragut Career Academy",1,0.969,0.78,0.43,"60623",0,NA,NA,NA,""
"UADC1181","2014 - 2015","DC - Year Round High School Program","Active","Latin American Youth Center- DC 2014-2015","20009","Latin American Youth Center","Non-profit",185,"1997-12-10","20010",65287,0.787,0.048,0.029,0.024,0.122,0.082,0.52,0.05,"Hispanic/Latino","F","Cardozo Senior High School",1,0.992658,0.41,NA,"20009",0,NA,NA,NA,""
"UADC1303","2014 - 2015","Baltimore","Active","Sinai Hospital BAL 2014-2015","21215","Sinai Hospital","Healthcare",142,"1997-05-01","21216",31988,0.565,0.107,0.118,0.082,0.226,0.203,0.125,0.085,"Black","F","Augusta Fells Savage Institute of Visual Arts High School",1,0.917,0.619,0.232,"21217",0,NA,NA,NA,""
"UADC1070","2014 - 2015","Chicago","Active","BP CHI 2014-2015","60606","BP","Utilities",216,"1997-03-10","60616",44258,0.668,0.088,0.055,0.038,0.148,0.196,0.374,0.061,"Asian","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1301","2014 - 2015","Chicago","Terminated Student","Senior Lifestyle CHI 2014-2015","60601","Senior Lifestyle","Real Estate",66,"1996-02-03","60609",33630,0.628,0.138,0.087,0.133,0.341,0.265,0.105,0.124,"Hispanic/Latino","F","Thomas Kelly High School",0,0.943,0.86,0.59,"60632",0,NA,NA,NA,""
"UADC1136","2014 - 2015","DC - Year Round High School Program","Active","EverFi DC 2014-2015","20007","EverFi","Technology",197,"1997-10-17","20018",52317,0.606,0.109,0.096,0.061,0.22,0.119,0.279,0.084,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC1191","2014 - 2015","Baltimore","Active","Marriott BAL BWI Airport 2014-2015","21090","Marriott","Hospitality",129,"1997-04-27","21060",63316,0.67,0.054,0.052,0.033,0.108,0.068,0.173,0.067,"Multiracial","F","Digital Harbor",0,0.778,0.6503,0.595,"21230",0,NA,NA,NA,""
"UADC1359","2014 - 2015","DC - Year Round High School Program","Active","YWCA National Capital Area DC 2014-2015","20009","YWCA National Capital Area","Non-profit",193,"1997-04-21","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","Roosevelt Senior High School",1,0.995434,0.62,NA,"20011",0,NA,NA,NA,""
"UADC29","2014 - 2015","DC - Year Round High School Program","Active","Edison Electric Institute DC 2014-2015","20004","Edison Electric Institute","Other",226,"1996-07-12","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","Woodson Senior High School",1,1,0.6,NA,"20019",0,NA,NA,NA,"My Urban Alliance experience was vital because, this was the first time anyone has ever trusted me enough to allow me to demonstrate my work effort and diligence in a professional environment. While Urban Alliance effortlessly demonstrates their confidence and trust in me  to do the right thing I will continue to strive for excellence and  make Urban Alliance proud that they've selected me to be an intern and representative. "
"UADC1229","2014 - 2015","Chicago","Active","Northern Trust 801 S Canal CHI 2014-2015","60603","Northern Trust","Financial Services",246,"1996-09-08","60652",65330,0.665,0.083,0.04,0.026,0.124,0.102,0.203,0.106,"Hispanic/Latino","F","Muchin College Prep",0,0.849,0.93,NA,"60602",0,NA,NA,NA,""
"UADC30","2014 - 2015","DC - Year Round High School Program","Active","Children's National Medical Center- Community Affairs and The Child Health Advocacy Institute DC 2014-2015","20010","Children's National Medical Center","Healthcare",54,"1997-03-13","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Perry Street Prep",0,0.633129,0.68,NA,"20018",0,NA,NA,NA,""
"UADC1200","2014 - 2015","DC - Year Round High School Program","Active","Marriott DC Crystal City 2014-2015","20817","Marriott","Hospitality",253,"1997-11-09","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Ballou Senior High School",1,0.998,0.5,NA,"20032",0,NA,NA,NA,""
"UADC1216","2014 - 2015","Baltimore - YAIP","Alumni","Morgan State University EDAC BAL YAIP 2014-2015","21251","Morgan State University","Education",128,"1996-07-06","21133",75010,0.727,0.054,0.046,0.027,0.108,0.065,0.32,0.1,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1083","2014 - 2015","Chicago","Active","Chicago Transit Authority CHI 2014-2015","60661","Chicago Transit Authority","Government",220,"1997-05-04","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Black","F","Wells Community Academy High School",1,0.94,0.71,0.49,"60622",0,NA,NA,NA,""
"UADC31","2014 - 2015","DC - Year Round High School Program","Active","Burson-Marsteller DC 2014-2015","20005","Burson-Marsteller","Legal & Professional Services",210,"1997-10-28","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC32","2014 - 2015","DC - DOES","Active","",NA,"","",24,"1996-01-05","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","F","Anacostia Senior High School",1,1,0.39,NA,"20020",0,NA,NA,NA,""
"UADC1184","2014 - 2015","Baltimore","Alumni","Legg Mason BAL 2014-2015","21202","Legg Mason","Financial Services",89,"1996-02-28","21222",48267,0.613,0.075,0.074,0.029,0.167,0.099,0.094,0.092,"Black","M","Patterson High School",0,0.851,0.6683,0.45,"21224",0,NA,NA,NA,""
"UADC1185","2014 - 2015","Baltimore","Active","Legg Mason BAL 2014-2015","21202","Legg Mason","Financial Services",267,"1995-08-10","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","M","Digital Harbor",0,0.778,0.6503,0.595,"21230",0,NA,NA,NA,""
"UADC1020","2014 - 2015","Baltimore - YAIP","Active","ARC Baltimore BAL YAIP 2014-2015","21215","ARC Baltimore","Non-profit",79,"1994-04-15","21133",75010,0.727,0.054,0.046,0.027,0.108,0.065,0.32,0.1,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1074","2014 - 2015","Baltimore - YAIP","Terminated Student","Catholic Charities BAL YAIP 2014-2015","21202","Catholic Charities","Non-profit",120,"1995-03-21","21133",75010,0.727,0.054,0.046,0.027,0.108,0.065,0.32,0.1,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1209","2014 - 2015","Chicago","Active","Mikva Challenge Foundation CHI 2014-2015","60604","Mikva Challenge Foundation","Non-profit",177,"1997-02-10","60628",34472,0.532,0.127,0.116,0.066,0.314,0.247,0.168,0.141,"Black","F","Dunbar Vocational Career Academy",1,0.977,0.89,0.76,"60616",0,NA,NA,NA,""
"UADC1215","2014 - 2015","Baltimore - YAIP","Terminated Student","Morgan State University EDAC BAL YAIP 2014-2015","21251","Morgan State University","Education",102,"1994-02-19","21221",52355,0.684,0.07,0.056,0.035,0.175,0.08,0.127,0.09,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1273","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",81,"1998-01-27","22304",76061,0.788,0.045,0.022,0.017,0.048,0.046,0.586,0.049,"White","F","TC Williams Satellite Campus",0,NA,NA,NA,"22314",0,NA,NA,NA,""
"UADC1122","2014 - 2015","DC - Year Round High School Program","Active","DTI Global DC 2014-2015","20004","DTI Global","Technology",171,"1997-09-22","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC1293","2014 - 2015","Baltimore","Active","Reading Partners BAL 2014-2015","21230","Reading Partners","Education",168,"1997-06-27","21223",25565,0.556,0.132,0.188,0.124,0.371,0.354,0.104,0.15,"Black","F","Northwestern High School",0,0.777,0.6049,0.346,"21215",0,NA,NA,NA,""
"UADC1343","2014 - 2015","NCR","Active","Virginia Hospital Center NCR 2014-2015","22205","Virginia Hospital Center","Healthcare",115,"1997-07-18","22204",76052,0.803,0.046,0.022,0.011,0.07,0.127,0.53,0.064,"Asian","M","Wakefield High School",0,0.4551,0.894,NA,"22206",0,NA,NA,NA,""
"UADC1081","2014 - 2015","Chicago","Active","Chicago Cares CHI 2014-2015","60606","Chicago Cares","Media & Entertainment",205,"1996-05-10","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Hispanic/Latino","F","Farragut Career Academy",1,0.969,0.78,0.43,"60623",0,NA,NA,NA,""
"UADC1141","2014 - 2015","DC - Year Round High School Program","Active","Girl Scout Council of the Nation's Capital DC 2014-2015","20008","Girl Scout Council of the Nation's Capital","Non-profit",149,"1997-06-13","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","Wilson Senior High School",0,0.295401,0.76,NA,"20016",0,NA,NA,NA,""
"UADC1340","2014 - 2015","DC - Year Round High School Program","Active","Verizon DC 2014-2015","20005","Verizon","Utilities",154,"1997-12-21","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"","M","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1094","2014 - 2015","Chicago","Active","Clark Construction Group CHI 2014-2015","60654","Clark Construction Group, LLC","Real Estate",189,"1996-12-29","60805",65393,0.668,0.087,0.038,0.028,0.085,0.076,0.309,0.073,"Black","M","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC33","2014 - 2015","DC - DOES","Active","Split This Rock DC 2014-2015","20036","Split This Rock","Non-profit",190,"1997-06-01","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Other","M","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
"UADC1255","2014 - 2015","DC - Year Round High School Program","Active","Office of Personnel Management - Retirement Services 2014-2015","20240","Office of Personnel Management","Government",129,"1997-01-22","20018",52317,0.606,0.109,0.096,0.061,0.22,0.119,0.279,0.084,"Black","F","Perry Street Prep",0,0.633129,0.68,NA,"20018",0,NA,NA,NA,""
"UADC1039","2014 - 2015","DC - Year Round High School Program","Active","Bank of America-2001 PENNSYLVANIA AVENUE DC 2014-2015","20005","Bank of America","Financial Services",101,"1997-02-16","20024",72870,0.72,0.054,0.061,0.035,0.116,0.143,0.656,0.043,"Black","F","Anacostia Senior High School",1,1,0.39,NA,"20020",0,NA,NA,NA,""
"UADC1358","2014 - 2015","Chicago","Active","Youth Guidance CHI 2014-2015","60602","Youth Guidance","Non-profit",166,"1996-10-12","60628",34472,0.532,0.127,0.116,0.066,0.314,0.247,0.168,0.141,"Black","F","Fenger Academy High School",1,0.962,0.82,0.41,"60628",0,NA,NA,NA,""
"UADC1142","2014 - 2015","Chicago","Active","Goldman Sachs CHI 2014-2015","60605","Goldman Sachs","Financial Services",232,"1997-08-13","60653",24968,0.616,0.153,0.123,0.044,0.363,0.359,0.265,0.203,"Black","M","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1279","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",121,"1997-11-16","22302",94446,0.779,0.03,0.024,0.003,0.023,0.057,0.652,0.031,"Black","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC34","2014 - 2015","DC - Year Round High School Program","Active","Third Way DC 2014-2015","20036","Third Way","Non-profit",246,"1997-11-19","20017",56980,0.641,0.107,0.05,0.027,0.135,0.135,0.391,0.102,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC1047","2014 - 2015","Baltimore","Active","Bank of America BAL Bank Center 2014-2015","20005","Bank of America","Financial Services",144,"1996-03-04","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","F","Digital Harbor",0,0.778,0.6503,0.595,"21230",0,NA,NA,NA,""
"UADC1035","2014 - 2015","Baltimore","Active","BCPSS CEO's Office 2014-2015","21202","Baltimore City Public Schools","Education",220,"1997-09-08","21207",51179,0.659,0.078,0.081,0.043,0.178,0.099,0.215,0.132,"Black","F","National Academy Foundation",1,0.843,0.7684,0.596,"21205",0,NA,NA,NA,""
"UADC1093","2014 - 2015","DC - Year Round High School Program","Active","Clark Construction Group, LLC Human Resources DC 2014-2015","20814","Clark Construction Group, LLC","Real Estate",208,"1997-09-05","20012",78356,0.669,0.078,0.037,0.013,0.099,0.073,0.526,0.04,"Black","F","Coolidge Senior High School",1,0.995381,0.51,NA,"20011",0,NA,NA,NA,""
"UADC1015","2014 - 2015","DC - Year Round High School Program","Active","American Beverage Association 2014-2015","200036","American Beverage Association","Other",180,"1996-05-24","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1183","2014 - 2015","Baltimore","Active","Legg Mason BAL 2014-2015","21202","Legg Mason","Financial Services",82,"1996-11-01","21213",34046,0.59,0.105,0.12,0.098,0.282,0.183,0.109,0.169,"Black","M","Patterson High School",0,0.851,0.6683,0.45,"21224",0,NA,NA,NA,""
"UADC1329","2014 - 2015","DC - Year Round High School Program","Active","United Way National Capital Area DC 2014-2015","20005","United Way National Capital Area (NCA)","Non-profit",187,"1997-03-14","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","Perry Street Prep",0,0.633129,0.68,NA,"20018",0,NA,NA,NA,""
"UADC1312","2014 - 2015","Chicago","Active","Spark CHI 2014-2015","60606","Spark","Non-profit",194,"1996-10-08","60617",38845,0.57,0.115,0.082,0.04,0.259,0.225,0.162,0.14,"Black","F","Muchin College Prep",0,0.849,0.93,NA,"60602",0,NA,NA,NA,""
"UADC1172","2014 - 2015","Chicago","Active","Katten Muchin Rosenman LLP CHI 2014-2015","60661","Katten Muchin Rosenman LLP","Legal & Professional Services",217,"1997-02-23","60608",35336,0.609,0.1,0.057,0.076,0.233,0.246,0.19,0.09,"Asian","F","Thomas Kelly High School",0,0.943,0.86,0.59,"60632",0,NA,NA,NA,""
"UADC1041","2014 - 2015","DC - Year Round High School Program","Active","Bank of America Friendship Heights DC 2014-2015","20015","Bank of America","Financial Services",33,"1996-09-10","20017",56980,0.641,0.107,0.05,0.027,0.135,0.135,0.391,0.102,"Black","F","Cardozo Senior High School",1,0.992658,0.41,NA,"20009",0,NA,NA,NA,""
"UADC1231","2014 - 2015","Chicago","Active","Northern Trust 801 S Canal CHI 2014-2015","60603","Northern Trust","Financial Services",273,"1996-08-15","60616",44258,0.668,0.088,0.055,0.038,0.148,0.196,0.374,0.061,"Asian","M","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1297","2014 - 2015","DC - Year Round High School Program","Active","Reingold LINK DC 2014-2015","20009","Reingold LINK","Legal & Professional Services",218,"1996-09-23","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","Woodson Senior High School",1,1,0.6,NA,"20019",0,NA,NA,NA,""
"UADC1110","2014 - 2015","Baltimore - YAIP","Active","CUPs BAL YAIP 2014-2015","21223","CUPs Coffeehouse","Other",30,"1994-05-30","21218",38261,0.591,0.074,0.085,0.059,0.234,0.163,0.317,0.095,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1292","2014 - 2015","Baltimore - YAIP","Active","Reading Partners BAL YAIP 2014-2015","21230","Reading Partners","Education",149,"1994-09-09","21212",61912,0.69,0.06,0.054,0.046,0.129,0.08,0.532,0.097,"Hispanic/Latino","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1250","2014 - 2015","DC - Year Round High School Program","Active","Office of Personnel Management - Retirement Services 2014-2015","20240","Office of Personnel Management","Government",92,"1997-08-10","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","M","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1017","2014 - 2015","Baltimore","Active","ARC Baltimore 2014-2015","21212","ARC Baltimore","Non-profit",80,"1997-09-20","21218",38261,0.591,0.074,0.085,0.059,0.234,0.163,0.317,0.095,"Black","F","Heritage",0,0.858,0.5667,0.387,"21213",0,NA,NA,NA,""
"UADC1068","2014 - 2015","Baltimore - YAIP","Alumni","Bon Secours BAL YAIP 2014-2015","21223","Bon Secours","Healthcare",435,"1994-12-03","21208",67244,0.612,0.041,0.035,0.017,0.083,0.048,0.457,0.07,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1356","2014 - 2015","Chicago","Active","South Side YMCA CHI 2014-2015","60637","YMCA Chicago","Non-profit",154,"1997-06-10","60628",34472,0.532,0.127,0.116,0.066,0.314,0.247,0.168,0.141,"Black","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1036","2014 - 2015","Baltimore","Active","BCPSS Office of Communications 2014-2015","21202","Baltimore City Public Schools","Education",196,"1996-12-29","21217",26187,0.534,0.108,0.15,0.085,0.363,0.307,0.187,0.167,"Black","M","Digital Harbor",0,0.778,0.6503,0.595,"21230",0,NA,NA,NA,""
"UADC1046","2014 - 2015","DC - Year Round High School Program","Active","Bank of America-CAPITOL HILL DC 2014-2015","20005","Bank of America","Financial Services",92,"1996-09-12","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1278","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",117,"1997-11-16","22302",94446,0.779,0.03,0.024,0.003,0.023,0.057,0.652,0.031,"Black","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC35","2014 - 2015","DC - DOES","Active","",NA,"","",75,"1997-02-23","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
"UADC1287","2014 - 2015","Chicago","Active","Priority Sports & Entertainment CHI 2014-2015","60654","Priority Sports & Entertainment","Media & Entertainment",225,"1997-08-12","60644",26092,0.525,0.138,0.142,0.125,0.412,0.317,0.092,0.215,"Black","F","Curie Metro High School",0,0.938,0.86,0.64,"60632",0,NA,NA,NA,""
"UADC1069","2014 - 2015","DC - Year Round High School Program","Active","Boston Consulting Group DC 2014-2015","20814","Boston Consulting Group","Legal & Professional Services",207,"1997-06-02","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1071","2014 - 2015","DC - Year Round High School Program","Active","Burness Communications DC 2014-2015","20814","Burness Communications","Legal & Professional Services",177,"1996-11-18","20018",52317,0.606,0.109,0.096,0.061,0.22,0.119,0.279,0.084,"Black","M","Friendship Public Charter School- Tech Prep Academy",0,0.997537,0.93,NA,"20032",0,NA,NA,NA,""
"UADC1206","2014 - 2015","DC - Year Round High School Program","Active","McMahon Solutions 2014-2015","20003","McMahon Solutions, LLC","Legal & Professional Services",161,"1997-10-17","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","Woodson Senior High School",1,1,0.6,NA,"20019",0,NA,NA,NA,""
"UADC1061","2014 - 2015","Chicago","Active","BMO Harris Bank-111 W. Monroe-CHI 2014-2015","60603","BMO Harris Bank","Financial Services",201,"1995-10-29","60619",34977,0.592,0.141,0.09,0.046,0.306,0.227,0.231,0.151,"Black","M","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1233","2014 - 2015","Chicago","Active","Northern Trust 801 S Canal CHI 2014-2015","60603","Northern Trust","Financial Services",277,"1997-03-17","60632",38545,0.661,0.107,0.033,0.076,0.232,0.209,0.085,0.096,"Hispanic/Latino","F","Curie Metro High School",0,0.938,0.86,0.64,"60632",0,NA,NA,NA,""
"UADC1289","2014 - 2015","Chicago","Active","Prudential CHI 2014-2015","60601","Prudential","Financial Services",NA,"1996-10-24","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Hispanic/Latino","F","Farragut Career Academy",1,0.969,0.78,0.43,"60623",0,NA,NA,NA,""
"UADC1347","2014 - 2015","DC - Year Round High School Program","Active","Washington City Paper DC 2014-2015","20009","Washington City Paper","Media & Entertainment",200,"1997-05-28","20024",72870,0.72,0.054,0.061,0.035,0.116,0.143,0.656,0.043,"Black","F","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1236","2014 - 2015","Chicago","Active","Northern Trust 181 W Madison CHI 2014-2015","60603","Northern Trust","Financial Services",282,"1997-01-23","60615",39055,0.641,0.098,0.07,0.029,0.187,0.174,0.534,0.089,"Black","F","Dunbar Vocational Career Academy",1,0.977,0.89,0.76,"60616",0,NA,NA,NA,""
